Brand,Color,Price,no_of_star,rating,discount,Model,Ton
Whirlpool,,"₹41,990",3,3.9,46% off,2023,
Lloyd,White,"₹39,999",5,4.2,41% off,2023,1.5
Haier,,"₹36,999",4,4,47% off,2023,1.5
Panasonic,,"₹33,490",3,4.3,30% off,2023,
SAMSUNG,White,"₹33,999",3,4.1,35% off,2023,
Voltas,White,"₹28,734",3,4.2,56% off,,1.6
Voltas,White,"₹47,999",3,4.3,41% off,2023,
Lloyd,White,"₹27,999",2,4.2,40% off,2023,
Godrej,White,"₹41,409",3,,26% off,,
Thomson,,"₹30,499",3,4,30% off,2023,1.5
Daikin,White,"₹40,380",3,4.1,27% off,,1.5
Blue,White,"₹26,990",3,4.1,18% off,2023,
Lloyd,White,"₹34,999",5,4.2,44% off,2023,1.2
SAMSUNG,Whi,"₹50,999",3,4,39% off,2023,
IFB,,"₹37,490",3,4.2,25% off,2023,1.5
Godrej,White,"₹39,490",5,4.2,23% off,,1.5
LG,,"₹49,990",5,4.1,39% off,2023,1.5
Lloyd,White,"₹36,499",4,4.2,42% off,2023,1.5
Voltas,White,"₹30,470",3,3.7,46% off,,
LG,,"₹33,490",3,4.1,42% off,2023,
IFB,,"₹48,490",3,4.2,23% off,2023,
Godrej,White,"₹33,990",3,3.9,29% off,2023,1.5
Voltas,White,"₹44,600",5,4.2,40% off,,1.5
Voltas,White,"₹44,999",3,4.2,43% off,2023,
Panasonic,,"₹41,990",5,4.1,34% off,2023,
SAMSUNG,White,"₹45,499",5,4.1,38% off,2023,1.5
Daikin,White,"₹46,499",5,4.2,34% off,,1.5
CARRIER,,"₹37,999",3,4,47% off,2023,1.5
CARRIER,White,"₹35,589",5,4.3,53% off,,1.5
Panasonic,White,"₹35,576",5,4.1,34% off,,
Blue,White,"₹33,490",5,4.2,43% off,,
LG,,"₹33,990",3,4.1,50% off,2023,1.2
ONIDA,White,"₹34,999",5,4.2,43% off,,1.5
Blue,White,"₹31,990",3,,37% off,2023,
SAMSUNG,White,"₹33,999",3,4.1,35% off,2023,
Lloyd,White,"₹28,490",3,4.2,38% off,,
Voltas,White,"₹32,999",3,4.1,52% off,,1.5
Godrej,White,"₹45,490",3,3.9,26% off,2023,
Voltas,White,"₹55,499",5,4.2,40% off,2023,
Voltas,White,"₹32,780",3,3.9,49% off,,1.5
LG,,"₹46,990",5,4.4,51% off,2023,1.5
Daikin,White,"₹37,999",5,4.2,31% off,2023,
Blue,White,"₹35,990",5,4.1,19% off,2023,1.5
SAMSUNG,White,"₹36,999",3,4.1,40% off,2023,1.5
LG,,"₹44,490",5,4.2,45% off,2023,1.5
SAMSUNG,W,"₹44,499",5,4,39% off,2023,1.5
Lloyd,White,"₹30,499",3,4.3,41% off,,1.2
IFB,,"₹38,490",3,4.2,25% off,2023,1.5
SAMSUNG,White,"₹31,500",3,4.1,38% off,2023,
Panasonic,,"₹35,490",4,4.3,29% off,2023,
Godrej,,"₹30,490",3,4.2,34% off,2023,1.5
CANDY,White,"₹32,990",5,4,45% off,2023,
Blue,White,"₹50,999",3,3.8,29% off,,
Lloyd,White,"₹32,799",5,3.9,40% off,2023,1.5
Panasonic,,"₹43,990",3,4.1,28% off,2023,1.5
LG,,"₹50,990",3,4.1,40% off,2023,
Voltas,White,"₹33,799",3,3.9,17% off,,1.5
CANDY,White,"₹27,990",4,4,51% off,2023,
Panasonic,White,"₹32,990",3,4.3,40% off,,1.5
Godrej,White,"₹31,900",3,4.1,31% off,,1.5
Lloyd,White,"₹42,790",5,4.2,29% off,,1.5
Blue,,"₹34,990",4,4.2,41% off,2023,
Voltas,White,"₹28,734",3,4.2,56% off,,1.6
Haier,,"₹44,990",5,4,37% off,2023,1.6
NU,White,"₹29,990",3,3.6,39% off,2023,1.5
CARRIER,White,"₹28,990",3,4.1,47% off,,0.8
CARRIER,White,"₹38,990",3,4.3,39% off,,1.5
Panasonic,White,"₹36,401",3,4.1,40% off,,1.5
IFB,,"₹42,990",5,4.3,25% off,2023,1.5
Lloyd,White,"₹29,490",3,4.1,38% off,2023,1.5
Whirlpool,,"₹29,990",3,3.9,48% off,2023,
Blue,White,"₹47,490",5,4.9,20% off,2023,1.5
Panasonic,,"₹65,990",5,4.3,24% off,2023,
SAMSUNG,White,"₹26,951",3,4.2,53% off,,1.5
CARRIER,,"₹44,990",3,4.3,42% off,,
ONIDA,White,"₹32,990",4,4.2,46% off,,1.6
Voltas,White,"₹32,699",5,4.2,59% off,,1.6
Lloyd,White,"₹26,490",3,4.3,36% off,,0.8
Lloyd,White,"₹32,999",2,4.1,44% off,2023,1.5
Panasonic,White,"₹34,658",5,4.1,43% off,,
Godrej,,"₹42,990",3,4.1,29% off,2023,
Lloyd,White,"₹29,999",3,4.3,33% off,,
LG,,"₹32,999",5,4.1,42% off,2023,
CARRIER,,"₹33,880",3,4.2,49% off,2023,1.5
MarQ,,"₹24,999",3,4.1,43% off,,0.7
Lloyd,White,"₹35,499",3,4.2,42% off,,1.5
Blue,,"₹40,990",4,4.2,41% off,2023,1.5
Lloyd,White,"₹31,490",3,4.2,42% off,2023,1.2
Hitachi,,"₹38,499",5,3.7,39% off,2023,
LG,,"₹49,490",5,4.1,39% off,2023,1.5
Lloyd,White,"₹29,999",3,4.3,33% off,,
Voltas,White,"₹35,999",5,3.7,43% off,,
IFB,,"₹31,490",2,4.2,21% off,2023,
Daikin,White,"₹43,990",1,3.3,28% off,,1.8
LG,,"₹43,490",5,4.2,36% off,2023,
Blue,,"₹30,990",2,4.2,29% off,2023,
MarQ,,"₹26,499",3,4.1,43% off,,
CARRIER,White,"₹42,400",5,3.7,35% off,,
Haier,White,"₹30,990",3,5,47% off,,
Hitachi,,"₹31,999",3,3.9,41% off,2023,
LG,,"₹39,990",4,4.1,51% off,2023,1.5
Hitachi,,"₹37,205",3,4,33% off,2023,1.5
Lloyd,White,"₹33,990",3,4,44% off,,1.5
LG,White,"₹46,990",4,4.1,38% off,2023,
Daikin,White,"₹37,590",3,4,32% off,,1.5
Midea,White,"₹26,990",3,4,46% off,2023,0.8
Blue,White,"₹33,999",5,4.1,10% off,2023,
Hitachi,White,"₹39,990",,3.9,38% off,,
Lloyd,White,"₹31,499",3,3.7,29% off,,
Thomson,White,"₹39,999",3,4,29% off,2023,
Frigidaire,White,"₹30,999",3,3.3,46% off,2023,1.5
CARRIER,,"₹50,990",3,4.1,36% off,2023,
Haier,,"₹52,990",3,4,40% off,2023,
Blue,,"₹35,954",,3.8,7% off,,
